schoolnr,pupilnr,iq_verb,iq_perf,sex,minority,repeatgr,aritpret,classnr,aritpost,langpret,langpost,ses,denomina,schoolse,satiprin,natitest,meetings,currmeet,mixedgra,percmino,aritdiff,homework,classsiz,groupsiz
1,17001,15,12.33333,0,0,0,14,180,24,36,46,23,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17002,14.5,10,0,1,0,12,180,19,36,45,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17003,9.5,11,0,0,0,10,180,24,33,33,15,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17004,11,10,0,0,0,13,180,26,29,46,23,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17005,8,6.66667,0,0,0,8,180,9,19,20,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17006,9.5,9,0,1,0,8,180,13,22,30,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17007,9.5,10.33333,0,1,0,7,180,13,20,30,23,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17008,13,14.33333,0,0,0,17,180,30,44,57,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17009,9.5,8.66667,0,1,1,10,180,23,34,36,13,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17010,11,15,0,1,0,14,180,22,31,36,15,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17011,5.5,9,1,1,0,11,180,19,18,29,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17012,14,9.33333,0,0,0,10,180,23,36,40,18,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17013,9,9,0,1,0,10,180,18,31,41,15,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17014,10.5,13,0,1,0,12,180,22,34,47,20,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17015,10,8.66667,0,1,0,9,180,15,31,33,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17016,11,12.33333,0,0,0,13,180,21,32,37,20,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17019,6.5,7.33333,1,0,0,9,180,13,23,29,13,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17020,4,9.33333,1,1,1,9,180,12,20,26,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17021,11,6.66667,1,1,0,7,180,11,27,37,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17022,11,11,1,1,0,16,180,23,31,40,15,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17025,11,11,1,0,1,16,180,17,24,27,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17026,12.5,10,1,0,0,9,180,16,35,43,13,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17027,11.5,11,1,1,0,14,180,24,32,39,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17028,10,6.66667,1,1,0,12,180,16,25,21,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
1,17029,10,9.33333,1,1,0,17,180,11,33,42,10,1,11,3.42857,0,1.7,1.83333,0,60,12,2.33333,29,29
2,27001,11.5,7.33333,1,0,1,3,280,6,22,21,15,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27002,10.5,9.33333,0,0,0,4,280,8,33,27,15,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27003,8,9.33333,0,0,0,11,280,9,22,16,20,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27004,7.5,7.66667,1,0,1,9,280,9,25,31,15,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27005,7.5,11.33333,0,1,1,11,280,18,27,21,10,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27006,6.5,6.66667,1,0,0,9,280,5,23,18,23,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
2,27007,11.5,12.66667,0,0,0,10,280,9,30,32,10,1,11,3,0,1.6,1.66667,1,10,27,1.66667,19,9
10,107201,10.5,8.66667,0,0,0,5,1082,14,26,28,15,1,15,3,0,2.6,2.66667,1,4,27,2,25,10
10,107202,10.5,12,0,0,0,11,1082,22,25,33,20,1,15,3,0,2.6,2.66667,1,4,27,2,25,10
10,107203,12.5,7.33333,1,0,0,10,1082,17,31,38,20,1,15,3,0,2.6,2.66667,1,4,27,2,25,10
10,107204,8,9,1,0,0,6,1082,8,20,14,10,1,15,3,0,2.6,2.66667,1,4,27,2,25,10
10,107206,11,8.33333,1,0,0,8,1082,10,30,39,33,1,15,3,0,2.6,2.66667,1,4,27,2,25,10
12,127102,9.5,9.66667,0,0,0,8,1280,15,23,23,27,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127103,10.5,11.33333,1,0,0,10,1280,16,33,43,33,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127104,8.5,12,1,0,0,7,1280,5,18,25,33,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127105,7.5,7.33333,1,0,0,6,1280,3,25,24,28,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127106,11,10.33333,1,0,0,8,1280,5,37,41,37,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127202,10.5,12.33333,0,0,0,11,1280,18,20,32,30,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127204,10.5,8.33333,0,0,0,9,1280,8,28,26,20,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127205,9.5,9.33333,0,0,0,9,1280,11,30,21,40,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127206,10,11.66667,0,0,0,9,1280,10,29,37,20,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127207,11.5,11.33333,1,0,0,11,1280,12,23,30,17,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127208,9.5,9.66667,1,0,0,9,1280,6,33,41,20,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127209,9,8,1,0,0,10,1280,5,25,31,50,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127210,8,7.66667,1,0,0,8,1280,10,21,27,20,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127212,7.5,7,1,0,0,9,1280,9,29,33,27,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
12,127213,8.5,6.33333,1,0,0,6,1280,11,27,29,40,1,20,3.14286,0,2.7,2.66667,1,5,17,1.33333,31,20
15,157001,14,8.33333,0,0,0,11,1580,13,36,31,40,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157002,8.5,7.33333,0,0,0,5,1580,9,18,18,20,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157003,13,15.33333,0,0,1,9,1580,18,30,37,40,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157006,10.5,10.66667,1,0,1,5,1580,11,35,22,25,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157007,15,9.66667,1,0,0,16,1580,20,38,43,20,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157008,9,6.33333,1,0,0,4,1580,6,15,9,30,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157009,10,15,0,0,0,18,1580,19,36,41,30,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
15,157010,12,12.66667,0,0,0,3,1580,24,37,46,20,3,18,3.42857,0,1.9,2,1,25,21,2,35,11
16,167002,11,12,0,0,1,14,1680,18,31,34,23,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167003,11,11.66667,1,0,0,12,1680,23,40,47,33,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167005,12.5,9.66667,0,0,0,14,1680,23,32,44,27,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167006,13,16.33333,0,0,0,15,1680,22,44,50,27,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167008,12.5,11.66667,0,0,0,7,1680,21,44,45,23,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167010,11,9.66667,1,0,0,12,1680,14,41,43,30,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167011,11.5,6.66667,0,0,0,7,1680,8,32,34,35,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
16,167012,11,9.66667,0,0,0,16,1680,19,32,35,37,2,13,3.14286,0,2.11111,2.16667,1,0,19,1.66667,28,13
