ID,Q1.AI_knowledge,Q2.AI_sources,Q2#1.Internet,Q2#2.Books/Papers,Q2#3.Social_media,Q2#4.Discussions,Q2#5.NotInformed,Q3#1.AI_dehumanization,Q3#2.Job_replacement,Q3#3.Problem_solving,Q3#4.AI_rulling_society,Q4#1.AI_costly,Q4#2.Economic_crisis,Q4#3.Economic_growth,Q4#4.Job_loss,Q5.Feelings,Q6.Domains,Q6#1.Education,Q6#2.Medicine,Q6#3.Agriculture,Q6#4.Constructions,Q6#5.Marketing,Q6#6.Administration,Q6#7.Art,Q7.Utility_grade,Q8.Advantage_teaching,Q9.Advantage_learning,Q10.Advantage_evaluation ,Q11.Disadvantage_educational_process,Q12.Gender,Q13.Year_of_study,Q14.Major,Q15.Passed_exams,Q16.GPA
1,8,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,1,2,5,1,4,2,4,2,1,Education;Medicine;Marketing,1,1,0,0,1,0,0,9,3,1,2,3,1,2,2,1,9.2
2,7,Internet;Social media,1,0,1,0,0,2,3,4,1,3,3,4,3,1,Medicine;Agriculture;Constructions,0,1,1,1,0,0,0,6,2,2,1,2,2,2,2,1,7.7
3,5,Internet;Books/Scientific papers (physical/online format),1,1,0,0,0,2,1,4,1,3,1,3,2,1,Education;Marketing;Public Administration,1,0,0,0,1,1,0,6,3,3,3,4,2,2,2,0,7.2
4,5,Internet;Social media,1,0,1,0,0,4,4,5,3,4,3,3,4,1,Education;Medicine,1,1,0,0,0,0,0,9,1,2,2,3,1,2,2,1,8.2
5,4,Internet,1,0,0,0,0,1,2,5,1,3,1,4,2,1,Education;Medicine;Agriculture;Constructions,1,1,1,1,0,0,0,8,3,2,3,4,1,2,2,1,7.7
6,5,Internet;Discussions with family/friends,1,0,0,1,0,3,4,4,3,4,3,3,4,2,Education;Agriculture;Public Administration,1,0,1,0,0,1,0,6,1,2,3,1,1,2,2,1,7.7
7,7,Books/Scientific papers (physical/online format);Social media;Discussions with family/friends,0,1,1,1,0,1,2,4,1,5,4,2,4,1,Education;Medicine;Constructions,1,1,0,1,0,0,0,10,1,2,1,3,1,2,2,0,7.2
8,6,Internet,1,0,0,0,0,1,1,5,1,3,2,3,2,1,Education;Medicine,1,1,0,0,0,0,0,8,3,3,3,3,2,2,2,0,6.7
9,6,Internet;Books/Scientific papers (physical/online format);Discussions with family/friends,1,1,0,1,0,2,4,5,2,5,2,3,4,1,Agriculture;Marketing;Public Administration,0,0,1,0,1,1,0,8,3,2,2,1,1,2,2,0,7.7
10,4,Internet,1,0,0,0,0,4,4,4,3,4,3,3,4,1,Education;Medicine;Agriculture;Constructions,1,1,1,1,0,0,0,7,1,1,3,1,1,2,3,1,8.2
11,4,Internet;Discussions with family/friends,1,0,0,1,0,3,3,5,2,4,1,4,3,1,Education;Medicine;Agriculture;Constructions;Marketing;Public Administration,1,1,1,1,1,1,0,10,2,2,3,3,1,2,3,0,7.7
12,6,Internet,1,0,0,0,0,4,4,2,2,3,3,3,3,1,Medicine;Agriculture;Constructions;Public Administration,0,1,1,1,0,1,0,4,2,2,3,2,2,2,2,1,7.7
