PUPIL,SCHOOL,POPULAR,SEX,TEXP,CONST,TEACHPOP
1,1,8,1,24,1,7
2,1,7,0,24,1,7
3,1,7,1,24,1,6
4,1,9,1,24,1,6
5,1,8,1,24,1,7
6,1,7,0,24,1,7
7,1,7,0,24,1,7
8,1,7,0,24,1,7
9,1,7,0,24,1,7
10,1,8,0,24,1,6
11,1,8,1,24,1,6
12,1,7,1,24,1,7
13,1,7,0,24,1,7
14,1,7,1,24,1,6
15,1,9,1,24,1,7
16,1,7,1,24,1,6
17,1,9,0,24,1,7
18,1,7,0,24,1,7
19,1,8,1,24,1,7
20,1,7,0,24,1,7
1,2,5,1,14,1,3
2,2,4,0,14,1,3
3,2,4,0,14,1,4
4,2,5,1,14,1,4
5,2,4,1,14,1,2
6,2,4,0,14,1,4
7,2,4,1,14,1,2
8,2,3,0,14,1,4
9,2,4,1,14,1,4
10,2,5,1,14,1,3
11,2,4,1,14,1,3
12,2,4,0,14,1,2
13,2,4,0,14,1,2
14,2,4,0,14,1,3
15,2,4,0,14,1,2
16,2,4,1,14,1,2
17,2,4,1,14,1,4
18,2,4,1,14,1,4
19,2,4,0,14,1,2
20,2,4,0,14,1,4
1,3,6,0,13,1,6
2,3,8,1,13,1,7
3,3,6,1,13,1,6
4,3,7,1,13,1,6
5,3,6,0,13,1,6
6,3,7,1,13,1,6
7,3,7,0,13,1,5
8,3,8,1,13,1,6
9,3,7,1,13,1,6
10,3,7,1,13,1,5
11,3,8,1,13,1,7
12,3,7,1,13,1,6
13,3,7,1,13,1,6
14,3,7,1,13,1,5
15,3,5,0,13,1,6
16,3,7,0,13,1,5
17,3,7,1,13,1,6
18,3,6,0,13,1,6
1,4,7,1,20,1,6
2,4,6,1,20,1,6
3,4,7,1,20,1,6
4,4,6,1,20,1,6
5,4,6,1,20,1,6
6,4,6,0,20,1,5
7,4,7,0,20,1,6
8,4,7,0,20,1,6
9,4,6,0,20,1,6
10,4,6,1,20,1,6
11,4,5,0,20,1,6
12,4,6,0,20,1,6
13,4,6,0,20,1,6
14,4,6,0,20,1,6
15,4,6,0,20,1,6
16,4,6,1,20,1,6
17,4,7,1,20,1,6
18,4,7,0,20,1,5
19,4,6,0,20,1,6
20,4,7,0,20,1,6
21,4,7,0,20,1,6
22,4,7,1,20,1,6
23,4,6,0,20,1,5
1,5,5,0,5,1,4
2,5,4,1,5,1,4
3,5,3,0,5,1,3
4,5,5,1,5,1,3
5,5,3,0,5,1,3
6,5,4,0,5,1,4
7,5,4,0,5,1,4
8,5,5,1,5,1,5
9,5,5,1,5,1,4
10,5,5,0,5,1,5
11,5,5,1,5,1,5
12,5,5,1,5,1,5
13,5,4,0,5,1,3
14,5,7,1,5,1,4
15,5,5,0,5,1,4
16,5,5,1,5,1,4
17,5,5,1,5,1,3
18,5,4,0,5,1,3
19,5,5,1,5,1,5
20,5,5,0,5,1,4
21,5,4,0,5,1,4
1,6,4,0,8,1,3
2,6,4,1,8,1,3
3,6,4,1,8,1,2
4,6,5,1,8,1,4
5,6,5,1,8,1,4
6,6,4,1,8,1,4
7,6,4,0,8,1,3
8,6,4,0,8,1,2
9,6,6,1,8,1,4
10,6,5,1,8,1,3
11,6,3,0,8,1,3
12,6,4,1,8,1,3
13,6,4,1,8,1,3
14,6,4,0,8,1,2
15,6,5,1,8,1,4
16,6,3,0,8,1,2
17,6,4,0,8,1,3
18,6,4,0,8,1,4
19,6,4,0,8,1,3
20,6,4,0,8,1,3
1,7,7,1,17,1,5
2,7,6,1,17,1,5
3,7,4,0,17,1,4
4,7,4,0,17,1,4
5,7,5,0,17,1,4
6,7,7,1,17,1,5
7,7,5,0,17,1,4
8,7,7,1,17,1,5
9,7,5,0,17,1,4
10,7,6,1,17,1,6
11,7,5,0,17,1,4
12,7,5,0,17,1,4
13,7,6,0,17,1,5
14,7,6,1,17,1,5
15,7,5,0,17,1,4
16,7,5,0,17,1,4
17,7,7,1,17,1,5
18,7,5,0,17,1,4
19,7,8,1,17,1,5
20,7,7,1,17,1,5
21,7,4,0,17,1,5
1,8,7,1,12,1,6
2,8,4,0,12,1,4
3,8,6,1,12,1,5
4,8,7,1,12,1,5
5,8,6,0,12,1,6
6,8,7,1,12,1,5
7,8,5,0,12,1,5
8,8,6,1,12,1,6
9,8,4,0,12,1,4
10,8,6,1,12,1,5
11,8,4,0,12,1,4
12,8,4,0,12,1,5
13,8,4,0,12,1,5
14,8,7,1,12,1,5
15,8,4,0,12,1,5
16,8,5,0,12,1,5
17,8,7,1,12,1,5
18,8,6,1,12,1,5
19,8,7,1,12,1,5
20,8,6,1,12,1,5
1,9,4,0,9,1,2
2,9,5,1,9,1,4
3,9,5,1,9,1,4
4,9,6,1,9,1,4
5,9,5,1,9,1,4
6,9,3,0,9,1,4
7,9,3,0,9,1,3
8,9,4,0,9,1,3
9,9,4,0,9,1,2
10,9,4,0,9,1,4
11,9,2,0,9,1,2
12,9,4,1,9,1,2
13,9,3,0,9,1,4
14,9,3,0,9,1,2
15,9,2,0,9,1,3
16,9,3,0,9,1,4
17,9,5,1,9,1,4
18,9,6,1,9,1,3
19,9,4,1,9,1,3
20,9,4,0,9,1,3
1,10,5,0,21,1,5
2,10,5,1,21,1,5
3,10,4,0,21,1,3
4,10,5,1,21,1,4
5,10,5,0,21,1,3
6,10,4,1,21,1,4
7,10,5,0,21,1,3
8,10,5,0,21,1,5
9,10,5,1,21,1,4
10,10,5,1,21,1,3
11,10,5,0,21,1,5
12,10,5,0,21,1,3
13,10,5,1,21,1,4
14,10,5,0,21,1,4
15,10,6,0,21,1,4
16,10,4,0,21,1,4
17,10,5,0,21,1,4
18,10,4,0,21,1,3
19,10,4,1,21,1,3
20,10,5,1,21,1,4
21,10,5,1,21,1,4
22,10,5,1,21,1,3
23,10,5,1,21,1,4
24,10,5,1,21,1,4
1,11,5,0,11,1,4
2,11,6,1,11,1,4
3,11,5,1,11,1,4
4,11,5,0,11,1,4
5,11,5,0,11,1,4
6,11,6,1,11,1,5
7,11,4,0,11,1,4
8,11,6,1,11,1,6
9,11,6,1,11,1,5
10,11,6,1,11,1,4
11,11,4,0,11,1,4
12,11,6,0,11,1,5
13,11,5,0,11,1,4
14,11,6,1,11,1,5
15,11,6,1,11,1,5
16,11,5,0,11,1,4
17,11,5,0,11,1,4
18,11,5,0,11,1,5
19,11,5,0,11,1,5
20,11,7,1,11,1,4
21,11,6,1,11,1,6
22,11,5,0,11,1,4
1,12,5,0,16,1,5
2,12,5,1,16,1,4
3,12,6,1,16,1,5
4,12,5,1,16,1,4
5,12,5,1,16,1,5
6,12,6,0,16,1,4
7,12,5,0,16,1,5
8,12,5,0,16,1,5
9,12,5,1,16,1,5
10,12,5,1,16,1,4
11,12,5,0,16,1,4
12,12,5,0,16,1,4
13,12,5,1,16,1,4
14,12,6,0,16,1,4
15,12,5,0,16,1,5
16,12,5,0,16,1,4
17,12,5,0,16,1,5
2,13,7,1,19,1,5
3,13,6,1,19,1,5
4,13,5,0,19,1,4
5,13,5,0,19,1,4
6,13,6,1,19,1,6
7,13,5,1,19,1,4
8,13,5,0,19,1,4
9,13,7,1,19,1,6
10,13,5,0,19,1,4
11,13,6,0,19,1,6
12,13,7,1,19,1,4
13,13,7,1,19,1,6
14,13,5,0,19,1,4
15,13,7,1,19,1,5
16,13,5,0,19,1,4
17,13,6,0,19,1,5
18,13,7,1,19,1,4
19,13,6,1,19,1,4
20,13,7,1,19,1,4
21,13,6,1,19,1,4
1,14,3,0,2,1,2
2,14,3,0,2,1,2
3,14,4,1,2,1,3
4,14,3,0,2,1,4
5,14,4,1,2,1,3
6,14,4,0,2,1,3
7,14,3,0,2,1,4
8,14,4,0,2,1,3
9,14,3,0,2,1,4
10,14,3,0,2,1,2
11,14,3,0,2,1,4
12,14,4,1,2,1,4
13,14,3,0,2,1,2
14,14,5,1,2,1,3
15,14,3,0,2,1,2
16,14,5,1,2,1,4
17,14,3,0,2,1,3
1,15,5,0,8,1,5
2,15,4,0,8,1,5
3,15,4,0,8,1,4
4,15,5,0,8,1,4
5,15,6,0,8,1,4
6,15,5,1,8,1,4
7,15,6,1,8,1,4
8,15,5,1,8,1,4
9,15,5,0,8,1,4
10,15,5,0,8,1,5
11,15,5,1,8,1,5
12,15,6,0,8,1,5
13,15,6,0,8,1,4
14,15,6,1,8,1,4
15,15,5,0,8,1,4
16,15,6,1,8,1,4
17,15,5,0,8,1,5
18,15,7,1,8,1,5
19,15,5,0,8,1,4
20,15,6,1,8,1,4
21,15,6,0,8,1,4
22,15,5,0,8,1,4
23,15,4,0,8,1,4
24,15,5,0,8,1,4
1,16,7,1,11,1,6
2,16,7,1,11,1,6
3,16,8,1,11,1,7
4,16,8,1,11,1,6
5,16,6,1,11,1,6
6,16,5,0,11,1,6
7,16,7,1,11,1,5
8,16,5,0,11,1,6
9,16,7,1,11,1,6
10,16,7,1,11,1,6
11,16,6,1,11,1,5
12,16,7,1,11,1,6
13,16,7,1,11,1,6
14,16,5,0,11,1,5
15,16,7,1,11,1,5
16,16,6,1,11,1,6
17,16,8,1,11,1,6
1,17,5,0,16,1,4
2,17,5,1,16,1,4
3,17,4,0,16,1,4
4,17,3,0,16,1,4
5,17,4,1,16,1,4
6,17,4,0,16,1,4
7,17,5,1,16,1,5
8,17,5,1,16,1,4
9,17,5,1,16,1,4
10,17,5,1,16,1,5
11,17,4,1,16,1,4
12,17,5,0,16,1,5
13,17,4,0,16,1,4
14,17,4,1,16,1,4
15,17,5,0,16,1,4
16,17,5,1,16,1,4
17,17,4,1,16,1,4
18,17,4,1,16,1,5
19,17,5,0,16,1,4
20,17,5,1,16,1,4
21,17,5,1,16,1,5
22,17,4,0,16,1,4
23,17,4,0,16,1,5
24,17,5,0,16,1,5
25,17,4,0,16,1,5
26,17,3,0,16,1,4
1,18,6,0,21,1,5
2,18,7,1,21,1,5
3,18,7,0,21,1,6
4,18,6,0,21,1,6
5,18,6,0,21,1,5
6,18,7,1,21,1,5
7,18,5,0,21,1,4
8,18,7,1,21,1,5
9,18,6,0,21,1,5
10,18,6,1,21,1,6
11,18,7,0,21,1,5
12,18,8,1,21,1,6
13,18,6,0,21,1,5
14,18,5,0,21,1,5
15,18,7,1,21,1,6
16,18,5,0,21,1,4
17,18,5,0,21,1,5
18,18,8,1,21,1,5
19,18,7,1,21,1,5
20,18,6,1,21,1,5
21,18,5,0,21,1,5
1,19,5,1,16,1,4
2,19,5,0,16,1,4
3,19,4,0,16,1,4
4,19,6,1,16,1,5
5,19,6,0,16,1,4
6,19,5,0,16,1,4
7,19,4,0,16,1,4
8,19,6,1,16,1,4
9,19,5,0,16,1,4
10,19,6,1,16,1,4
11,19,6,1,16,1,4
12,19,4,0,16,1,5
14,19,6,1,16,1,4
15,19,6,1,16,1,4
16,19,4,0,16,1,5
17,19,7,1,16,1,4
18,19,6,1,16,1,4
19,19,5,0,16,1,4
20,19,6,1,16,1,4
21,19,4,0,16,1,5
1,20,5,1,10,1,4
2,20,5,1,10,1,4
3,20,5,1,10,1,4
4,20,5,1,10,1,4
5,20,5,1,10,1,4
6,20,6,1,10,1,4
7,20,5,1,10,1,5
8,20,3,0,10,1,3
9,20,5,1,10,1,5
10,20,4,0,10,1,4
11,20,4,0,10,1,3
12,20,5,1,10,1,3
13,20,4,0,10,1,3
14,20,6,1,10,1,5
15,20,6,1,10,1,5
17,20,3,0,10,1,3
18,20,5,1,10,1,4
19,20,4,1,10,1,5
20,20,5,1,10,1,4
21,20,3,0,10,1,3
1,21,6,1,17,1,5
2,21,7,1,17,1,5
3,21,7,1,17,1,5
4,21,8,1,17,1,5
5,21,5,0,17,1,5
6,21,5,0,17,1,5
7,21,6,0,17,1,5
8,21,6,1,17,1,5
9,21,6,0,17,1,5
10,21,6,0,17,1,5
11,21,7,1,17,1,5
12,21,5,0,17,1,5
13,21,5,0,17,1,5
14,21,5,0,17,1,5
15,21,7,1,17,1,5
16,21,5,0,17,1,5
17,21,6,0,17,1,5
18,21,8,1,17,1,5
19,21,7,1,17,1,6
20,21,7,1,17,1,6
21,21,7,1,17,1,5
22,21,5,1,17,1,5
23,21,6,1,17,1,5
1,22,5,1,11,1,4
2,22,4,1,11,1,3
3,22,6,1,11,1,5
4,22,5,1,11,1,3
5,22,4,0,11,1,4
6,22,4,0,11,1,3
7,22,4,0,11,1,5
8,22,5,1,11,1,4
9,22,4,1,11,1,4
10,22,4,0,11,1,4
11,22,3,0,11,1,3
12,22,4,0,11,1,4
13,22,5,1,11,1,5
14,22,4,1,11,1,4
15,22,3,0,11,1,3
16,22,4,1,11,1,3
17,22,4,0,11,1,5
18,22,5,1,11,1,5
19,22,5,1,11,1,3
20,22,5,1,11,1,5
1,23,5,0,15,1,5
2,23,6,1,15,1,5
3,23,6,1,15,1,5
4,23,5,0,15,1,5
5,23,6,1,15,1,5
6,23,6,1,15,1,5
7,23,5,1,15,1,5
8,23,4,0,15,1,5
9,23,6,0,15,1,5
10,23,5,0,15,1,5
11,23,5,0,15,1,5
12,23,6,1,15,1,6
13,23,5,0,15,1,5
14,23,7,1,15,1,6
15,23,6,1,15,1,6
16,23,5,0,15,1,5
17,23,5,1,15,1,4
18,23,5,0,15,1,4
19,23,6,1,15,1,5
20,23,4,0,15,1,5
21,23,5,0,15,1,5
22,23,5,0,15,1,5
1,24,3,0,6,1,4
2,24,4,0,6,1,2
3,24,5,1,6,1,3
4,24,5,1,6,1,4
5,24,4,1,6,1,3
6,24,5,1,6,1,4
7,24,4,0,6,1,3
8,24,4,1,6,1,3
9,24,4,0,6,1,3
10,24,4,1,6,1,3
11,24,4,0,6,1,2
12,24,4,0,6,1,4
13,24,3,0,6,1,4
14,24,4,0,6,1,2
15,24,3,0,6,1,4
16,24,6,1,6,1,4
17,24,4,1,6,1,2
18,24,6,1,6,1,4
19,24,3,0,6,1,3
1,25,6,0,19,1,5
2,25,7,1,19,1,5
3,25,7,1,19,1,5
4,25,7,1,19,1,5
5,25,7,1,19,1,5
6,25,6,0,19,1,5
7,25,6,0,19,1,5
8,25,7,1,19,1,6
9,25,7,1,19,1,6
10,25,6,0,19,1,5
11,25,7,1,19,1,6
12,25,6,0,19,1,5
13,25,7,1,19,1,5
14,25,6,1,19,1,5
15,25,7,1,19,1,5
16,25,6,0,19,1,5
17,25,5,0,19,1,5
18,25,7,0,19,1,5
19,25,6,0,19,1,5
20,25,6,0,19,1,5
1,26,4,1,10,1,3
2,26,4,1,10,1,4
3,26,4,0,10,1,4
4,26,4,1,10,1,3
5,26,4,0,10,1,3
6,26,5,1,10,1,4
7,26,5,1,10,1,4
8,26,4,0,10,1,3
9,26,3,0,10,1,4
10,26,4,0,10,1,4
11,26,5,1,10,1,3
12,26,4,0,10,1,3
13,26,5,1,10,1,4
14,26,4,0,10,1,3
15,26,4,0,10,1,4
16,26,4,1,10,1,3
17,26,5,1,10,1,4
18,26,3,1,10,1,4
19,26,4,0,10,1,4
20,26,3,0,10,1,3
21,26,5,1,10,1,4
1,27,5,0,10,1,4
2,27,5,0,10,1,5
3,27,6,0,10,1,4
4,27,5,0,10,1,4
5,27,5,0,10,1,4
6,27,4,0,10,1,5
7,27,6,0,10,1,6
8,27,6,0,10,1,4
9,27,6,1,10,1,5
10,27,6,0,10,1,6
11,27,6,1,10,1,4
12,27,6,1,10,1,4
13,27,5,0,10,1,4
14,27,7,1,10,1,4
15,27,6,1,10,1,6
16,27,6,1,10,1,4
17,27,5,0,10,1,4
18,27,6,0,10,1,6
19,27,4,0,10,1,5
20,27,5,0,10,1,4
1,28,5,0,13,1,5
2,28,5,1,13,1,5
3,28,4,0,13,1,4
4,28,3,0,13,1,4
5,28,5,1,13,1,4
6,28,6,1,13,1,4
7,28,4,0,13,1,5
8,28,5,1,13,1,4
9,28,5,1,13,1,4
10,28,5,1,13,1,4
11,28,4,0,13,1,5
12,28,5,0,13,1,4
13,28,4,1,13,1,4
14,28,4,0,13,1,4
15,28,5,1,13,1,4
16,28,4,0,13,1,4
17,28,5,1,13,1,5
18,28,4,0,13,1,4
19,28,5,1,13,1,4
20,28,5,1,13,1,5
1,29,5,1,22,1,5
2,29,5,0,22,1,4
3,29,5,0,22,1,4
4,29,5,0,22,1,4
5,29,6,1,22,1,5
6,29,6,1,22,1,4
7,29,5,0,22,1,4
8,29,6,1,22,1,4
9,29,5,1,22,1,4
10,29,5,1,22,1,5
12,29,5,0,22,1,4
13,29,4,0,22,1,4
